EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,Unnamed: 39,symbol,YahooSymbol,sector_yahoo,industry_yahoo,market_cap,sector,cap_category
NSE,E,14203,INE703H01016,EQUITY,,HUBTOWN,HUBTOWN LIMITED,Hubtown,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,HUBTOWN,HUBTOWN.NS,Real Estate,Real Estate - Development,46758219776.0,Real Estate,SMALL_CAP
NSE,E,14218,INE627H01017,EQUITY,,CTE,CAMBRIDGE TECH ENTER LTD,Cambridge Technology Enterprises,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,CTE,CTE.NS,Technology,Information Technology Services,983927168.0,Technology,SMALL_CAP
NSE,E,14223,INE545H01011,EQUITY,,TIIL,TECHNOCRAFT IND LTD,Technocraft Industries,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.805049,,TIIL,TIIL.NS,Industrials,Tools & Accessories,57161080832.0,Industrials,MID_CAP
NSE,E,14230,INF179KC1EZ4,EQUITY,,HDFCBSE500,HDFCAMC - HDFCBSE500,HDFC BSE 500 ETF,ETF,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,,HDFCBSE500,HDFCBSE500.NS,,,,UNKNOWN,UNKNOWN
NSE,E,14233,INF179KC1FB2,EQUITY,,HDFCSML250,HDFCAMC - HDFCSML250,HDFC Nifty Small Cap 250 ETF,ETF,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,,HDFCSML250,HDFCSML250.NS,,,,UNKNOWN,UNKNOWN
NSE,E,14236,INF179KC1HT0,EQUITY,,HDFCMID150,HDFCAMC - HDFCMID150,HDFC Nifty Midcap 150 ETF,ETF,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,,HDFCMID150,HDFCMID150.NS,,,,UNKNOWN,UNKNOWN
NSE,E,1424,INE267A01025,EQUITY,,HINDZINC,HINDUSTAN ZINC LIMITED,Hindustan Zinc,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,,HINDZINC,HINDZINC.NS,Basic Materials,Other Industrial Metals & Mining,2092152258560.0,Basic Materials,LARGE_CAP
NSE,E,14245,INE421C01016,EQUITY,,TVSSRICHAK,TVS SRICHAKRA LIMITED,TVS Srichakra,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.114295,,TVSSRICHAK,TVSSRICHAK.NS,Consumer Cyclical,Auto Parts,33246144512.0,Consumer Cyclical,SMALL_CAP
NSE,E,14255,INE891D01026,EQUITY,,REDINGTON,REDINGTON LIMITED,Redington,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.654632,,REDINGTON,REDINGTON.NS,Technology,Information Technology Services,231483424768.0,Technology,LARGE_CAP
NSE,E,14260,INE940H01022,EQUITY,,PGIL,PEARL GLOBAL IND LIMITED,Pearl Global Industries,ES,EQ,1.0,,,,10.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.371354,,PGIL,PGIL.NS,Consumer Cyclical,Apparel Manufacturing,77578862592.0,Consumer Cyclical,MID_CAP
